Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,landfalls_100km
63582,Harmony Solar (FL),FL,Osceola,74.5,28.155322,-81.108333,4
60422,Morgan's Corner,NC,Pasquotank,20.0,36.421064,-76.364244,4
67047,Decatur Solar,GA,Decatur,200.0,30.854893,-84.445427,3
62584,Quitman Solar,GA,Brooks,150.0,30.849005,-83.643279,3
64335,Quitman II Solar,GA,Brooks,150.0,30.86205,-83.65165,3
66541,Chesapeake Solar Project,VA,Chesapeake City,132.0,36.685103,-76.29661,3
61763,Sunshine Gateway Solar Energy Center,FL,Columbia,74.5,30.29,-82.75,3
61767,Pioneer Trail Solar Energy Center,FL,Volusia,74.5,29.08,-81.1,3
63583,Taylor Creek Solar,FL,Orange,74.5,28.503469,-81.048333,3
67209,Storey Bend Solar,FL,Osceola,74.5,28.282565,-81.081447,3
65323,Bedford Solar (Dominion),VA,Chesapeake City,70.0,36.7,-76.1647,3
61666,Peace Creek Solar,FL,Polk,55.4,27.913306,-81.810111,3
63084,Caden Energix Hickory LLC,VA,Chesapeake City,32.0,36.624113,-76.194266,3
64135,Grassfield Solar,VA,Chesapeake City,20.0,36.65,-76.35,3
61021,Horizon Solar Energy Center,FL,Putnam,74.5,29.665556,-82.058333,2
62542,Debary Solar Power Plant,FL,Volusia,74.5,28.899548,-81.330856,2
62914,Nassau Solar Center,FL,Nassau,74.5,30.50391,-81.88411,2
67182,Tupelo Solar,FL,Putnam,74.5,29.603731,-81.527251,2
67672,Cedar Trail,FL,Baker,74.5,30.339139,-82.192861,2
61988,Citrus Ridge Solar,FL,Orange,52.0,28.40078,-81.61632,2
61561,Bladen Solar,NC,Bladen,50.0,34.823522,-78.62345,2
61646,LA3 West Baton Rouge Solar Facility,LA,West Baton Rouge,50.0,30.465105,-91.331855,2
63128,Iris Solar LLC,LA,Washington,50.0,30.78184,-90.19536,2
67071,Sunlight Road Solar,LA,Washington,50.0,30.781803,-90.217355,2
62541,Lake Placid Solar Power Plant,FL,Highlands,45.0,27.331136,-81.364018,2
65220,Pleasant Hill Solar,VA,Suffolk City,20.0,36.692197,-76.578558,2
63518,Twin Rivers Solar Power Plant,FL,Hamilton,74.9,30.466428,-82.968718,1
65292,Rice Creek,FL,Putnam,74.9,29.74118,-81.69886,1
61022,Coral Farms Solar Energy Center,FL,Putnam,74.5,29.756944,-81.897222,1
62633,Twin Lakes,FL,Putnam,74.5,29.612188,-81.844528,1
62645,Northern Preserve Solar,FL,Baker,74.5,30.2473,-82.226907,1
62915,Magnolia Springs Solar Center,FL,Clay,74.5,29.89857,-81.69333,1
62916,Trailside Solar Center,FL,St Johns,74.5,29.774987,-81.427853,1
62923,Union Springs Solar Center,FL,Union,74.5,29.97397,-82.30099,1
62925,Egret Solar Center,FL,Baker,74.5,30.28251,-82.18378,1
