Plant Code,Plant Name,State,County,solar_mw,Latitude,Longitude,onset_cat,surge_exposed,surge_descr,depth_source
63273,Wagyu,TX,Brazoria,120.0,29.242304,-95.658144,,False,no-surge/NoData,NOAA_CFEM_composite
67161,Oak Solar,NC,Northampton,120.0,36.526492,-77.774039,,False,no-surge/NoData,NOAA_CFEM_composite
60436,East Pecos Solar,TX,Pecos,118.5,31.000883,-102.281744,,False,no-surge/NoData,NOAA_CFEM_composite
65225,"Waverly Solar, LLC",VA,Sussex,118.0,37.020784,-77.12265,,False,no-surge/NoData,NOAA_CFEM_composite
63351,Bluebell Solar II,TX,Sterling,115.0,31.888,-100.825,,False,no-surge/NoData,NOAA_CFEM_composite
66310,Cutlass Solar 1 LLC,TX,Fort Bend,110.9,29.409669,-95.73405,,False,no-surge/NoData,NOAA_CFEM_composite
63343,Galloway 2 Solar Farm,TX,Concho,110.0,31.446237,-99.902973,,False,no-surge/NoData,NOAA_CFEM_composite
67159,Liberty County Solar Project,TX,Liberty,109.9,29.95888,-94.85048,,False,no-surge/NoData,NOAA_CFEM_composite
63233,Emerald Grove,TX,Pecos,108.0,31.09331,-102.35964,,False,no-surge/NoData,NOAA_CFEM_composite
65376,SR Snipesville II,GA,Jeff Davis,107.0,31.708821,-82.715724,,False,no-surge/NoData,NOAA_CFEM_composite
66171,SR Snipesville III,GA,Jeff Davis,107.0,31.697152,-82.764546,,False,no-surge/NoData,NOAA_CFEM_composite
64838,"SR Clay, LLC",GA,Clay,106.0,31.544831,-84.900566,,False,no-surge/NoData,NOAA_CFEM_composite
59206,Alamo 6,TX,Pecos,105.0,30.993056,-102.270833,,False,no-surge/NoData,NOAA_CFEM_composite
59896,Butler Solar Project 103,GA,Taylor,104.0,32.561944,-84.275833,,False,no-surge/NoData,NOAA_CFEM_composite
62367,SR Arlington II,GA,Early,102.5,31.415531,-84.830714,,False,no-surge/NoData,NOAA_CFEM_composite
60372,Lamesa Solar,TX,Dawson,102.0,32.715611,-101.926522,,False,no-surge/NoData,NOAA_CFEM_composite
60064,"White Pine Solar, LLC",GA,Taylor,101.2,32.506017,-84.256976,,False,no-surge/NoData,NOAA_CFEM_composite
62814,Sadler Solar,VA,Greensville,100.0,36.6867,-77.558,,False,no-surge/NoData,NOAA_CFEM_composite
62798,Fern Solar LLC,NC,Edgecombe,100.0,36.003272,-77.696443,,False,no-surge/NoData,NOAA_CFEM_composite
66410,Grizzly Ridge Solar,TX,Hamilton,100.0,31.738177,-98.213739,,False,no-surge/NoData,NOAA_CFEM_composite
63765,Black Bear Solar 1,AL,Montgomery,100.0,32.196971,-86.327341,,False,no-surge/NoData,NOAA_CFEM_composite
66369,"Wildflower Solar, LLC (MS)",MS,DeSoto,100.0,34.962,-90.184,,False,no-surge/NoData,NOAA_CFEM_composite
61422,"Southampton Solar, LLC",VA,Southampton,100.0,36.614,-77.166,,False,no-surge/NoData,NOAA_CFEM_composite
66759,Delta's Edge Solar,MS,Carroll,100.0,33.5,-90.1,,False,no-surge/NoData,NOAA_CFEM_composite
62415,West of the Pecos Solar,TX,Reeves,100.0,31.4308,-103.7289,,False,no-surge/NoData,NOAA_CFEM_composite
59205,OCI Alamo 5 LLC,TX,Uvalde,100.0,29.216667,-99.716111,,False,no-surge/NoData,NOAA_CFEM_composite
66240,Ragsdale Solar LLC,MS,Madison,100.0,32.550998,-90.009684,,False,no-surge/NoData,NOAA_CFEM_composite
64081,Sunflower County,MS,Sunflower,100.0,33.757767,-90.536465,,False,no-surge/NoData,NOAA_CFEM_composite
59207,OCI Alamo 7 LLC,TX,Haskell,100.0,33.04,-99.5525,,False,no-surge/NoData,NOAA_CFEM_composite
64191,SR Lumpkin,GA,Stewart,100.0,32.025,-84.7325,,False,no-surge/NoData,NOAA_CFEM_composite
64260,BPL Sol Solar LLC,TX,Falls,100.0,31.346717,-97.082774,,False,no-surge/NoData,NOAA_CFEM_composite
65981,Second Division Solar,TX,Brazoria,100.0,29.170545,-95.741574,,False,no-surge/NoData,NOAA_CFEM_composite
62448,Lapetus,TX,Andrews,100.0,32.460054,-102.672809,,False,no-surge/NoData,NOAA_CFEM_composite
64259,BPL Crown Solar LLC,TX,Falls,100.0,31.346717,-97.082774,,False,no-surge/NoData,NOAA_CFEM_composite
59665,Innovative Solar 37 LLC,NC,Anson,100.0,34.838297,-79.943889,,False,no-surge/NoData,NOAA_CFEM_composite
66623,Harvest Gold Solar,MS,Sunflower,99.0,33.505,-90.636,,False,no-surge/NoData,NOAA_CFEM_composite
